título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
'Había una vez una iguana',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,jueves,17:30,,22/05/2025,22/05/2025,Madrid,Tetuán,0.0,True,True,True
A taste of the moon,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,2,18,True,,jueves,17:30,,22/05/2025,22/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Historia de Piratas,A cargo de la compañía Fantasma Teatro.,Cultura y Espectáculos,Teatro Infantil,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
Teatro en familia,Taller de teatro.,Cultura y Espectáculos,Talleres. Teatro Infantil,5,18,,,viernes,17:30,,23/05/2025,23/05/2025,Madrid,Usera,0.0,True,True,True
Acercándonos al circo: taller iniciación al circo,¡Diviértete aprendiendo mientras descubres todo lo que eres capaz de hacer!Probarás las técnicas que hacen del circo el mayor espectáculo del mundo de la mano de la profesora de la compañía La Tortuga Veloz.,Cultura y Espectáculos,Circo. Talleres. Teatro Infantil,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Carabanchel,0.0,True,True,True
The far West,¡Yee-Haw! ¡El Lejano Oeste está aquí!,No especificada,No especificada,3,10,True,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
Las aventuras del circo de los sueños,Compañía: Zumo Animaciones,Cultura y Espectáculos,Circo. Teatro Infantil,4,18,,,viernes,12:00,,23/05/2025,23/05/2025,Madrid,,0.0,True,True,True
Humor a la cara,CON YAGUETE FILETE,No especificada,No especificada,4,18,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"Cuentacuentos: ""Buscando tesoros""",A cargo de la payasa Cocolô.,No especificada,No especificada,,,,,viernes,18:00,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
Talleres Juvenil-Adultos,Para adultos y mayores de 12 años acompañados. Máximo 20 plazas.,Cultura y Espectáculos,Talleres,12,18,,,viernes,17:30,,23/05/2025,23/05/2025,Madrid,Centro,0.0,True,True,False
The three little pigs... y el lobo,Compañía Marimba Teatro.,Cultura y Espectáculos,Teatro Infantil,6,18,,,viernes,18:30,,23/05/2025,23/05/2025,Madrid,Hortaleza,0.0,True,True,True
El Fado de Ulisses - Rodopio d´ideias (Portugal),"El Fado de Ulises es un espectáculo teatral que narra la historia de La Odisea de Homero, utilizando como recursos el fado, la música típica de Lisboa, y las marionetas.",Cultura y Espectáculos,Títeres y marionetas,,,,,"sábado, domingo",,,24/05/2025,25/05/2025,Madrid,Retiro,0.0,True,False,True
Taller de traducción para pequeños lingüistas,"En este taller y tomando como referencia el libro ¡Ey, ey, ey, Taxi!, del autor alemán Saša Stanišić y la ilustradora Katja Spitzer, nos convertiremos en pequeños traductores y ayudaremos a las palabras y las ilustraciones a traspasar miles de fronteras. ¿Estás listo para esta aventura?",Cultura y Espectáculos. Educación,Idiomas. Talleres,8,12,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,False,True
Personajes ilustrados,"¿Por qué no podrían ser los participantes en este taller los creadores de la próxima gran estrella del cómic? Los participantes darán vida a nuestro propio personaje. Desde ponerle un nombre e inventar la historia de su vida, hasta el dibujo y diseño de sus características físicas.",Cultura y Espectáculos,Talleres,,,,,sábado,17:00,,24/05/2025,24/05/2025,Madrid,,,True,False,True
DisneMagical,Compañía: La Tomasa Teatro.,Cultura y Espectáculos,Teatro Infantil,3,18,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Usera,0.0,True,True,True
El Oso Yogui,(2010 – Eric Brevig).,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
Kalevala,Entrada libre hasta completar aforo.,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Retiro,0.0,True,False,True
Terracota,Teatro infantil.,Cultura y Espectáculos,Teatro Infantil,3,9,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Retiro,0.0,True,False,True
La brujita pastelera,Sin descripción,No especificada,No especificada,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,True
Las hadas de luz,Asociación Familiaplim,No especificada,No especificada,,,,,sábado,12:30,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,True
'Aserrín-Aserrán',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Usera,0.0,True,True,True
Una de ratones,Compañía: Surcante,Cultura y Espectáculos,Teatro Infantil,4,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,True
Fantástica Leonora,CÍA. LAPOTINGUELE PROD.,No especificada,No especificada,5,5,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"INFANTIL. Indeleble Producciones, presenta “Mi Camita”","Mica llega para irse… Para irse a su camita. Parece sencillo, pero Mica se enreda porque el abrigo va por su cuenta, se complica porque los zapatos le bailan solos, descubre que su pijama está del revés, juega con una pluma al caer y soluciona porque su sábana sabe un montón de secretos. Pí Pi…ja, ja, jaaa…mamá…. ¡¡¡PIJAMA!!!",No especificada,No especificada,4,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"INFANTIL. Tralalart, presenta “Una noche de espías”","Pía y Merche, dos chicas con motivaciones muy distintas, empiezan su turno de limpieza en un edificio Súper Secreto donde, inesperadamente, se adentran en una misión que cambiará sus vidas. Con la ayuda de nuevos amigos y superando obstáculos absurdos, Pía y Merche avanzarán en su búsqueda, listos para resolver el misterio de la fórmula secreta… ¡Y enfrentar las sorpresas que se cruzarán en su camino!",No especificada,No especificada,5,18,,,sábado,18:00,,24/05/2025,24/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
La Rata Rita,,No especificada,No especificada,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,False,True
Concierto - A Ambos Lados del Atlántico 2,Sin descripción,Cultura y Espectáculos,Conciertos. Música,,,,,sábado,19:00,,24/05/2025,24/05/2025,Madrid,Chamberí,0.0,True,True,True
Cuentacuentos con pictogramas: Miau miau,A cargo de Israel Hergón.,No especificada,No especificada,4,4,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
El Dragón de los deseos,Sin descripción,No especificada,No especificada,8,18,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Moratalaz,0.0,True,True,True
Jornadas Especiales,Para familias con menores a partir de 6 años.,No especificada,No especificada,6,18,,,sábado,11:00,,24/05/2025,24/05/2025,Madrid,Centro,0.0,True,True,False
"Pez al revés, presenta “Ronda al revés”",,No especificada,No especificada,,,,,sábado,12:00,,24/05/2025,24/05/2025,Madrid,Vicálvaro,0.0,True,True,False
Sim Salabim,Compañía Carlos Adriano.,Cultura y Espectáculos,Teatro Infantil,,,,,sábado,17:00,,24/05/2025,24/05/2025,Madrid,,0.0,True,True,False
Folklore en Familia: concierto de Vibra-Tó - Chamberí,"Joaquín y Miguel llevan más de 20 años creando instrumentos musicales a partir de objetos cotidianos. Recogedores que suenan por bulerías, regaderas jazzeras, latas que son guitarras y sitares, y panderos de globos, trompetas con mangueras y embudos… Estos dos músicos-pedagogos multiinstrumentistas interpretan composiciones propias y músicas del folclore universal con sus cacharros y lo explican de una forma didáctica y divertida.",Cultura y Espectáculos,Conciertos. Música,,,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Chamberí,0.0,True,False,True
Folklore en Familia: taller de Vibra-Tó - Chamberí,Te gustaría aprender a fabricar tu propio instrumento?,Cultura y Espectáculos,Talleres,0,7,True,,domingo,11:00,,25/05/2025,25/05/2025,Madrid,Chamberí,0.0,True,False,True
Sirocco y el reino de los vientos,Director: Benoit Chieux.,No especificada,No especificada,4,8,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
El enfermo imaginario,Cía. Vidas de Alambre,No especificada,No especificada,6,18,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
Oliverio Satisfecho,Compañía: Oliverio.,Cultura y Espectáculos,Teatro Infantil,,,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
La hora de Rockear,Grupo Cómics,No especificada,No especificada,6,18,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
Descubre las aves del Parque de Pradolongo,Senda ornitológica por el Parque de Pradolongo.,Aire Libre,Parques y jardines,10,18,,,domingo,10:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
Títeres agua,Horario:﻿ de 12 a 13 horas.,No especificada,No especificada,6,9,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Usera,0.0,True,True,True
¡NO PUEDE SER! Mago Roncero,Recomendada para todos los públicoS,No especificada,No especificada,,,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,True
La reina de colores por Andrea Ortúzar,"Las historias de la escritora e ilustradora alemana Jutta Bauer, merecedora del Premio Andersen, protagonizan esta sesión de cuentos infantiles imprescindibles, emotivos y tiernos.",Cultura y Espectáculos. La Ciudad,Actividades. Club de lectura. Cuentacuentos,4,18,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Carabanchel,0.0,True,True,True
El ruiseñor y el emperador de la China,,No especificada,No especificada,,,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,False,True
Taller y concierto infantil - Vibra Tó,Sin descripción,Cultura y Espectáculos,Conciertos. Música. Talleres,,,,,domingo,11:00,,25/05/2025,25/05/2025,Madrid,Chamberí,0.0,True,True,True
"Cuentacuentos teatralizado con pictogramas: ""Cosquillas en el corazón""",Cía. Gallinero de Micaela.,No especificada,No especificada,3,8,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,False
"Menú2, con la compañía El Circodromo","Menu2 acerca la extrovertida complicidad entre dos personajes que buscan impactar al público con su extravagancia y su peculiar humor. Su estética retro esta desfasada y al darse cuenta de ello intenta suplantar su aspecto con sus increíbles manipulaciones, equilibrios, acrobacias y humor. Sin duda un espectáculo diferente y divertido apto para cardíacos.",Cultura y Espectáculos,Teatro Infantil,5,18,,,domingo,12:30,,25/05/2025,25/05/2025,Madrid,Carabanchel,0.0,True,True,True
Taller 'Insectos y otros pequeños habitantes de La Cabaña',,Cultura y Espectáculos,Talleres,,,,,domingo,11:00,,25/05/2025,25/05/2025,Madrid,Retiro,0.0,True,True,False
Oliverio Satisfecho,Compañía Oliverio.,Cultura y Espectáculos,Teatro Infantil,6,18,,,domingo,18:00,,25/05/2025,25/05/2025,Madrid,Hortaleza,0.0,True,True,True
Pizza a la mozartella,Diverlírica.,No especificada,No especificada,3,18,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,Centro,0.0,True,True,False
"Cacahuete, el más divertido del mundo",Compañía Bang Bang.,Cultura y Espectáculos,Teatro Infantil,,,,,domingo,12:00,,25/05/2025,25/05/2025,Madrid,,0.0,True,True,False
Rutas guiadas por el Parque Forestal de Valdebebas. Mayo 2025,,Aire Libre,Parques y jardines,,,,,domingo,,,25/05/2025,25/05/2025,Madrid,,0.0,True,True,False
El fantasma de la pera,Compañía:. Marimba Marionetas (Especial San Isidro).,Cultura y Espectáculos,Teatro Infantil. Títeres y marionetas,12,12,,,martes,12:00,,27/05/2025,27/05/2025,Madrid,Salamanca,0.0,True,True,True
Cine infantil en la Biblioteca María Lejárraga: 'Clifford: el gran perro rojo',Ven a la biblioteca a disfrutar del cine.,No especificada,No especificada,,,,,jueves,18:00,,29/05/2025,29/05/2025,Madrid,Hortaleza,0.0,True,True,True
A taste of the moon,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,2,18,,,jueves,17:30,,29/05/2025,29/05/2025,Madrid,Tetuán,0.0,True,True,True
Magia con Pablo,"Prepárate para un show de magia espectacular con el Mago Pablo Molina. Con su asombroso repertorio de trucos y un toque de humor, hará que los niños vivan una experiencia mágica e inolvidable llena de sorpresas y risas. ¡Una aventura mágica que encantará a toda la familia!.",Cultura y Espectáculos,Magia,5,18,,,viernes,18:00,,30/05/2025,30/05/2025,Madrid,Carabanchel,0.0,True,True,True
Exposición  alumnos infantil taller de pintura Centro cultural Antonio Machado,Exposición de pintura,Cultura y Espectáculos,Exposiciones. Talleres,,,,,viernes,,,30/05/2025,13/06/2025,Madrid,Centro,0.0,True,True,True
'Había una vez una iguana',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,viernes,17:30,,30/05/2025,30/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
El príncipe que quería ser rey,Compañía. Iberoamericana,Cultura y Espectáculos,Teatro Infantil,4,10,,,viernes,18:00,,30/05/2025,30/05/2025,Madrid,Villa de Vallecas,0.0,True,True,True
Talleres infantiles en la plaza del Pueblo,,Cultura y Espectáculos,Talleres,,,,,viernes,18:00,,30/05/2025,30/05/2025,Madrid,,0.0,True,True,True
Espectáculo infantil: ` Pomp Art´,Sin descripción,No especificada,No especificada,,,,,viernes,18:00,,30/05/2025,30/05/2025,Madrid,Villaverde,0.0,True,True,True
Cuentos mágicos,Compañía Elástica.,Cultura y Espectáculos,Club de lectura. Teatro Infantil,3,18,,,viernes,18:30,,30/05/2025,30/05/2025,Madrid,Hortaleza,0.0,True,True,True
Pequemonstro - Teatro de Carmen (Región de Murcia),"UMilo es un niño revoltoso al que le encanta gastar bromas a su hermano mayor Gabi. Tras un apagón, el pequeño Milo desaparece y Gabi tendrá que poner a prueba todo su valor para recuperar a su hermano. En esta aventura se encontrará con divertidos y sorprendentes monstruos y descubrirá que cualquier miedo se puede superar.",Cultura y Espectáculos,Teatro Infantil,,,,,"sábado, domingo",18:30,,31/05/2025,01/06/2025,Madrid,Retiro,0.0,True,False,True
La Sirenita,Compañía: Fénix producciones.,Cultura y Espectáculos,Teatro Infantil,,,,,sábado,12:00,,31/05/2025,31/05/2025,Madrid,Usera,0.0,True,True,True
Pasaporte al espacio,Compañía: AstroAfición.,Cultura y Espectáculos,Teatro Infantil,3,12,,,sábado,12:35,13:35,31/05/2025,31/05/2025,Madrid,Usera,0.0,True,True,True
Las Aventuras de Tintín: El Secreto del Unicornio”. (2011 Las Aventuras de Tintín: El Secreto del Unicornio – Eric Brevig).,"Tintín, un joven periodista, y su leal perro Milú descubren que la ma queta de un barco contiene un enigmático y secular secreto que de ben investigar. A partir de ese momento, Tintín se verá acosado por un diabólico villano que cree que el joven ha robado un valioso tesoro vinculado a un cruel pirata llamado Rackham el Rojo.",No especificada,No especificada,,,,,sábado,12:00,,31/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
¡Soy el chico/a del tiempo!,Horario: ﻿de 12 a 13 horas.,No especificada,No especificada,6,18,,,sábado,12:00,,31/05/2025,31/05/2025,Madrid,Usera,0.0,True,True,True
La niña bombera,Jorge y Esther son dos amigos del cole que tienen mucha ilusión por ser mayores y sobre todo Esther quiere llegar a ser mayor para conducir un coche de bomberos... por su parte a Jorge le encanta cocinar y siempre que puede hace unos bocadillos riquísimos para su amiga.... ¿Podrán conseguir sus sueños de mayores? que les parece a los niños del publico esto? y ellos por su parte ¿qué sueños tienen?,No especificada,No especificada,,,,,sábado,19:00,,31/05/2025,31/05/2025,Madrid,,0.0,True,True,True
Partida de rol: Cthulhu en la biblioteca,,No especificada,No especificada,,,,,sábado,12:00,,31/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
La historia interminable,1984,No especificada,No especificada,,,,,sábado,18:00,,31/05/2025,31/05/2025,Madrid,,0.0,True,True,True
Animalitos en la granja,,No especificada,No especificada,,,,,sábado,19:00,,31/05/2025,31/05/2025,Madrid,Centro,0.0,True,False,True
"INFANTIL - CUENTACUENTOS. “Kalevala, un viaje mágico” por Cecilia Anahí","¡Bienvenidos a un mundo de fantasía y aventura! “Kalevala: un viaje mágico” es un espectáculo encantador que invita a los niños a sumergirse en la rica epopeya finlandesa del Kalevala, a través de la magia de la danza, la música y la narración.",Cultura y Espectáculos,Bailes. Magia. Música,,,,,sábado,18:00,,31/05/2025,31/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Coral voces bravas,Coro Therpsicore. Aquellas pequeñas cosas.,No especificada,No especificada,,,,,sábado,19:00,,31/05/2025,31/05/2025,Madrid,Chamberí,0.0,True,True,True
Musical Infantil Chispitas,,Cultura y Espectáculos,Música,,,,,sábado,13:00,,31/05/2025,31/05/2025,Madrid,Usera,0.0,True,True,True
Desmontando la zarzuela,"Acabada una representación, el público aplaude, o no… ; los críticos alaban la labor, o no…; losamigos y familiares de los artistas se enorgullecen de ellos…, o no…. Pero ¿qué ocurrirá después?",No especificada,No especificada,,,,,sábado,18:00,,31/05/2025,31/05/2025,Madrid,Salamanca,0.0,True,True,True
Misión espacial,Compañía Ciencia divertida.,Cultura y Espectáculos,Teatro Infantil,,,,,sábado,17:00,,31/05/2025,31/05/2025,Madrid,,0.0,True,True,True
Tres historias tres - Ángeles de trapo (Andalucía),"Una obra de teatro de títeres tradicional, en donde tres historias muy divertidas lograrán la participación de los niños y niñas desde el primer momento. Dos hermanos bebés muy simpáticos serán los encargados de presentar estas historias, no sin antes hacer sus clásicas travesuras.",Cultura y Espectáculos,Teatro Infantil. Títeres y marionetas,,,,,"sábado, domingo",18:30,,07/06/2025,08/06/2025,Madrid,Retiro,0.0,True,False,True
La Principita,Reparto de entradas gratuitas desde una hora antes en el centro cultural. Máximo dos entradas por persona hasta completar aforo.,No especificada,No especificada,4,18,,,sábado,12:00,,14/06/2025,14/06/2025,Madrid,Retiro,0.0,True,False,True
Caperucita roja - El retablo (Madrid),"Una compañía de títeres comienza a representar la obra teatral en tres actos y un epílogo titulada ""Caperucita Roja"". Pero pronto comienzan los problemas: personajes de otros cuentos irrumpen en escena sin venir a cuento. Persecuciones, risas y enredos se suceden rápidamente en esta disparatada versión para títeres del cuento clásico de Perrault.",Cultura y Espectáculos,Club de lectura. Teatro Infantil,3,18,,,"sábado, domingo",18:30,,14/06/2025,15/06/2025,Madrid,Retiro,0.0,True,False,True
Mari la mariquita,,No especificada,No especificada,,,,,domingo,11:00,,15/06/2025,15/06/2025,Madrid,Centro,0.0,True,True,False
Planeta Tierra - Títeres Sol y Tierra (Madrid),"Una conferencia sobre nuestro planeta llena de interrupciones, invitados y no invitados y peras… ¿Peras? Bueno, parece que va a ser una conferencia complicada. Juntos descubriremos cómo surgió la vida en la tierra y los distintos tipos de criaturas que la han ido poblando. Pero una nueva forma de vida, el ser humano, amenaza la pacífica existencia de nuestro planeta con costumbres muy dañinas. ¿Qué podemos hacer para ayudar?",No especificada,No especificada,,,,,"sábado, domingo",18:30,,21/06/2025,22/06/2025,Madrid,Retiro,0.0,True,False,True
Campamento del Price (7 y 8 años),"Efecto Tamariz es una propuesta para el aprendizaje de la Magia, que destila la esencia y filosofía Tamariz, una esencia compuesta por el amor a la Magia, por la alta calidad artística, por una combinación perfecta entre Magia y Humor, y un sinfín de detalles que, durante más de cincuenta años, se han ido desarrollando.",Cultura y Espectáculos. Educación,Campamentos Urbanos. Magia,,,,,"lunes, viernes",09:00,14:30,23/06/2025,18/07/2025,Madrid,,,True,False,True
Campamento del Price (9 y 10 años),"Efecto Tamariz es una propuesta para el aprendizaje de la Magia, que destila la esencia y filosofía Tamariz, una esencia compuesta por el amor a la Magia, por la alta calidad artística, por una combinación perfecta entre Magia y Humor, y un sinfín de detalles que, durante más de cincuenta años, se han ido desarrollando.",Cultura y Espectáculos. Educación,Campamentos Urbanos. Magia,,,,,"lunes, viernes",09:00,14:30,23/06/2025,18/07/2025,Madrid,,,True,False,True
Campamento del Price (11 y 12 años),"Efecto Tamariz es una propuesta para el aprendizaje de la Magia, que destila la esencia y filosofía Tamariz, una esencia compuesta por el amor a la Magia, por la alta calidad artística, por una combinación perfecta entre Magia y Humor, y un sinfín de detalles que, durante más de cincuenta años, se han ido desarrollando.",Cultura y Espectáculos. Educación,Campamentos Urbanos. Magia,,,,,"lunes, viernes",09:00,14:30,23/06/2025,18/07/2025,Madrid,,,True,False,True
Campamentos de verano 2025 en Puente de Vallecas,"Se ofertan 250 plazas por cada quincena, para menores nacidos entre los años 2013 y 2021 cuyas familias estén empadronadas en el distrito y que los padres/tutores se encuentren trabajando o estudiando que permitan prevenir situaciones de riesgo y por otro ofrecer un ocio saludable durante las vacaciones escolares de verano.",La Ciudad,Verano,4,12,True,,,17:00,,,,Madrid,Puente de Vallecas,0.0,True,False,True
Campamento de Verano 2025 en Villaverde,"Se realizarán actividades de ocio lúdico-educativas, incluyendo los servicios de desayuno y comida.",Educación. La Ciudad,Campamentos Urbanos. Verano,,,,,"lunes, jueves, viernes",,,23/06/2025,31/07/2025,Madrid,Villaverde,0.0,True,False,True
Campamentos de verano 2025 para menores nacidos 2013-2021,Sin descripción,La Ciudad,Verano,3,12,,,"lunes, viernes",08:30,15:30,23/06/2025,29/08/2025,Madrid,,0.0,True,True,False
Verde que te quiero verde - Zaguán Teatro (Castilla La Mancha),"En 1923, un joven Federico García Lorca decidió que les haría un regalo navideño a su hermanita Isabel y a los niños de Granada: su primer espectáculo de títeres. ""La niña que riega la albahaca y el príncipe preguntón"" y otros entremeses, harían la delicia de los pequeños, gracias a los muñecos construidos por Hermenegildo Lanz y el piano maravilloso de Manuel de Falla.",Cultura y Espectáculos,Teatro Infantil,,,,,"sábado, domingo",18:30,,28/06/2025,29/06/2025,Madrid,Retiro,0.0,True,False,True
Los más pequeños también plantamos,,No especificada,No especificada,,,,,domingo,11:00,,29/06/2025,29/06/2025,Madrid,Centro,0.0,True,True,False
Campamento urbano de verano en Usera,"Campamento para niños y niñas donde se realizarán actividades de ocio lúdico-educativas, incluyendo los servicios de desayuno, comida y merienda.",Educación. La Ciudad,Campamentos Urbanos. Verano,3,18,True,,"martes, viernes",07:30,09:00,01/07/2025,05/09/2025,Madrid,Usera,0.0,True,False,True
Campamentos de verano 2025 para adolescentes nacidos 2009-2012,Dirigido a menores de 13 a 16 años (nacidos entre 2009 y 2012).,La Ciudad,Verano,13,16,,,"lunes, viernes",,,07/07/2025,18/07/2025,Madrid,,0.0,True,True,False
