titulo,tipo,lugar,distrito,fecha_inicio,fecha_fin,url
"PAYASAS: ""Risa y carcajada: un musical de alegría""",Sin tipo,Centro Cultural el Torito (Moratalaz),MORATALAZ,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/PAYASAS-Risa-y-carcajada-un-musical-de-alegria-/?vgnextfmt=default&vgnextoid=1ee5db7ff8cc5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller 'Todos los animales están conectados e impresión de huellas en arcilla,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES, 
            
            EXCURSIONES ITINERARIOS VISITAS",Aula ambiental La Cabaña del Retiro,RETIRO,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-Todos-los-animales-estan-conectados-e-impresion-de-huellas-en-arcilla/?vgnextfmt=default&vgnextoid=f1e88b56808d5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
¡Jugamos con las cariocas! Crea tus propios juguetes,CURSOS Y TALLERES,Centro de Educación Ambiental y Cultural Maris Stella (Usera),USERA,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Jugamos-con-las-cariocas-Crea-tus-propios-juguetes/?vgnextfmt=default&vgnextoid=8f0deee2b72b5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Pasaporte al espacio, observación solar + taller de cohetes",CURSOS Y TALLERES,Auditorio Municipal al aire libre Lola Camarena,VILLA DE VALLECAS,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Pasaporte-al-espacio-observacion-solar-taller-de-cohetes/?vgnextfmt=default&vgnextoid=741bc72ef37c5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El universo literario de Tim Burton. Dumbo,CINE ACTIVIDADES AUDIOVISUALES,Cineteca Madrid,ARGANZUELA,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-universo-literario-de-Tim-Burton-Dumbo/?vgnextfmt=default&vgnextoid=f155c241037d5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
HOP!,CIRCO MAGIA,Teatro Circo Price,ARGANZUELA,domingo 20 de abril de 2025,domingo 15 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/HOP-/?vgnextfmt=default&vgnextoid=95698cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller 'pequeños hortelanos',"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Aula ambiental La Cabaña del Retiro,RETIRO,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-pequenos-hortelanos-/?vgnextfmt=default&vgnextoid=62934d02257d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Martín y la música,MÚSICA,Centro Cultural Hortaleza,HORTALEZA,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Martin-y-la-musica/?vgnextfmt=default&vgnextoid=d37a19e695416910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Los más pequeños también plantamos,Sin tipo,Centro de Información y Educación Ambiental de El Huerto de El Retiro,RETIRO,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Los-mas-pequenos-tambien-plantamos/?vgnextfmt=default&vgnextoid=ca6e0b57897d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Dream,CIRCO MAGIA,Centro Cultural Carril del Conde (Hortaleza),HORTALEZA,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Dream/?vgnextfmt=default&vgnextoid=32c75b230f5f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Fiesta de pijamas para peluches, muñecas y muñecos. ¡Fin de semana en la Biblioteca!",CURSOS Y TALLERES,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),VICALVARO,lunes 21 de abril de 2025,viernes 25 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Fiesta-de-pijamas-para-peluches-munecas-y-munecos-Fin-de-semana-en-la-Biblioteca-/?vgnextfmt=default&vgnextoid=cac159ad2a006910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto de los cuentos',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Miguel Delibes (Moratalaz),MORATALAZ,lunes 21 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-de-los-cuentos-/?vgnextfmt=default&vgnextoid=a5cbd860fc0f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"TEATRO MUSICAL: ""Don Quijote, aventuras de un caballero""",Sin tipo,Centro Cultural el Torito (Moratalaz),MORATALAZ,lunes 21 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/TEATRO-MUSICAL-Don-Quijote-aventuras-de-un-caballero-/?vgnextfmt=default&vgnextoid=3536db7ff8cc5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Entrega de premios,CONCURSOS Y CERTÁMENES,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),SAN BLAS-CANILLEJAS,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Entrega-de-premios/?vgnextfmt=default&vgnextoid=07bb57fd86c55910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller Día del Libro (Cuentos y manualidad),CURSOS Y TALLERES,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas),SAN BLAS-CANILLEJAS,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-Dia-del-Libro-Cuentos-y-manualidad-/?vgnextfmt=default&vgnextoid=e8a4d5eb73516910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Presentación y Recital de Poesía. Mapa de corazonadas,"RECITALES, PRESENTACIONES Y ACTOS LITERARIOS",Centro Cultural Puerta de Toledo (Centro),CENTRO,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Presentacion-y-Recital-de-Poesia-Mapa-de-corazonadas/?vgnextfmt=default&vgnextoid=c8729125a23a5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"La Hora del Cuento : ""El lobo que se cayó de un libro"" y ""El Oso que amaba los libros""","CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),TETUAN,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-Hora-del-Cuento-El-lobo-que-se-cayo-de-un-libro-y-El-Oso-que-amaba-los-libros-/?vgnextfmt=default&vgnextoid=9c80a1b80d426910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto de los cuentos',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),CHAMARTIN,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-de-los-cuentos-/?vgnextfmt=default&vgnextoid=db686ab5d26f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'La máscara del león',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Ana María Matute (Carabanchel),CARABANCHEL,martes 22 de abril de 2025,martes 22 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-La-mascara-del-leon-/?vgnextfmt=default&vgnextoid=fcefdbca8c516910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Chucuchú: un tren de cuentos. Actividad especial por el Día del Libro,CURSOS Y TALLERES,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),SAN BLAS-CANILLEJAS,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Chucuchu-un-tren-de-cuentos-Actividad-especial-por-el-Dia-del-Libro/?vgnextfmt=default&vgnextoid=e1a25a96bc8b5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Actividad familiar: JUEGOS DE ROL,CURSOS Y TALLERES,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),VILLA DE VALLECAS,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividad-familiar-JUEGOS-DE-ROL/?vgnextfmt=default&vgnextoid=f8913e06256f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Presentación del libro La bamda y el cuadro siberiano,"RECITALES, PRESENTACIONES Y ACTOS LITERARIOS",Centro Cultural Huerta de la Salud (Hortaleza),HORTALEZA,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Presentacion-del-libro-La-bamda-y-el-cuadro-siberiano/?vgnextfmt=default&vgnextoid=ef9c901b5b516910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'¿Tu mono quiere un plátano?',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Eugenio Trías,RETIRO,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Tu-mono-quiere-un-platano-/?vgnextfmt=default&vgnextoid=d795dbca8c516910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller especial 'Día del Libro',CURSOS Y TALLERES,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),TETUAN,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-especial-Dia-del-Libro-/?vgnextfmt=default&vgnextoid=ec37cf89a0436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Lectura pública del Quijote para niños y mayores,"RECITALES, PRESENTACIONES Y ACTOS LITERARIOS",Sin lugar,Sin distrito,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Lectura-publica-del-Quijote-para-ninos-y-mayores/?vgnextfmt=default&vgnextoid=a3c4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Obra literaria infantil: La tierra de Jauja,"CINE ACTIVIDADES AUDIOVISUALES, 
            
            CURSOS Y TALLERES, 
            
            CONFERENCIAS Y COLOQUIOS",Sin lugar,Sin distrito,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Obra-literaria-infantil-La-tierra-de-Jauja/?vgnextfmt=default&vgnextoid=00d4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Coro de la Unión de Actores y Actrices,"TEATRO PERFOMANCE, 
            
            EXPOSICIONES",Centro Cultural Galileo (Chamberí),CHAMBERI,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coro-de-la-Union-de-Actores-y-Actrices/?vgnextfmt=default&vgnextoid=66853e785acc5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto mejor guardado del mundo',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),VICALVARO,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-mejor-guardado-del-mundo-/?vgnextfmt=default&vgnextoid=809418a6826f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto de los cuentos',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),FUENCARRAL-EL PARDO,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-de-los-cuentos-/?vgnextfmt=default&vgnextoid=bddb8cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'Historias con cosquillas',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Benito Pérez Galdós (Centro),CENTRO,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Historias-con-cosquillas-/?vgnextfmt=default&vgnextoid=8c5d8cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El espíritu Aloha' de Beatriz M. Cassy,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),CHAMARTIN,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-espiritu-Aloha-de-Beatriz-M-Cassy/?vgnextfmt=default&vgnextoid=3a1c5f33314d2910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"'Cuantos lejanos, historias cercanas'","CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Gloria Fuertes (Barajas),BARAJAS,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Cuantos-lejanos-historias-cercanas-/?vgnextfmt=default&vgnextoid=cd9326d754016910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'La leyenda de San Jorge',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Aluche (Latina),LATINA,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-La-leyenda-de-San-Jorge-/?vgnextfmt=default&vgnextoid=62f7c5182eff5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'Peripecias de corazones valientes',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Portazgo (Puente de Vallecas),PUENTE DE VALLECAS,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Peripecias-de-corazones-valientes-/?vgnextfmt=default&vgnextoid=9f598cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Leer Jugando,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sin lugar,Sin distrito,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Leer-Jugando/?vgnextfmt=default&vgnextoid=a30a523ba58b5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
CirCómicus,CIRCO MAGIA,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),SAN BLAS-CANILLEJAS,miércoles 23 de abril de 2025,miércoles 23 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/CirComicus/?vgnextfmt=default&vgnextoid=8b74c2df0a3a5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Caracterización y actividades infantiles,"RECITALES, PRESENTACIONES Y ACTOS LITERARIOS, 
            
            CURSOS Y TALLERES",Sin lugar,Sin distrito,jueves 24 de abril de 2025,jueves 24 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Caracterizacion-y-actividades-infantiles/?vgnextfmt=default&vgnextoid=fa285b230f5f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'La casa que duerme',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),TETUAN,jueves 24 de abril de 2025,jueves 24 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-La-casa-que-duerme-/?vgnextfmt=default&vgnextoid=fa228cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'A dormir',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Vicálvaro,VICALVARO,jueves 24 de abril de 2025,jueves 24 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-A-dormir-/?vgnextfmt=default&vgnextoid=2fa2523ba58b5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Mouse Journey,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),VILLA DE VALLECAS,jueves 24 de abril de 2025,jueves 24 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Mouse-Journey/?vgnextfmt=default&vgnextoid=a187fd0e593b5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'En el bosque',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),CIUDAD LINEAL,jueves 24 de abril de 2025,jueves 24 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-En-el-bosque-/?vgnextfmt=default&vgnextoid=25d38cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
JORNADAS ESPECIALES,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES, 
            
            EXCURSIONES ITINERARIOS VISITAS",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,viernes 25 de abril de 2025,domingo 27 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/JORNADAS-ESPECIALES/?vgnextfmt=default&vgnextoid=67138b56808d5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
En La Noche de los Libros: 'Los cazalibros',CURSOS Y TALLERES,Biblioteca Pública Municipal Aluche (Latina),LATINA,viernes 25 de abril de 2025,viernes 25 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/En-La-Noche-de-los-Libros-Los-cazalibros-/?vgnextfmt=default&vgnextoid=9f5159ad2a006910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Capuchones de cuento para lapiceros,"FIESTAS, 
            
            CURSOS Y TALLERES",Auditorio Municipal Las Trece Rosas,VILLA DE VALLECAS,viernes 25 de abril de 2025,viernes 25 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Capuchones-de-cuento-para-lapiceros/?vgnextfmt=default&vgnextoid=dd3491df59426910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
